Geneid	Length	genome_mapping/137-LC_R1.rn6.sorted.bam
Olr1389	936	0
Olr1387	936	2
Olr1398	936	0
Olr1401	936	0
Olr1409	942	0
Olr1407	924	0
Olr1423	963	0
Olr1422	945	0
Olr1418	945	0
Olr1416	930	0
Olr1425	948	0
Olr1428	916	0
Olr1432	972	0
Olr1434	921	0
Olr1436	921	0
Olr1437	921	0
Olr1439	921	0
Olr1440	921	0
Olr1443	921	0
Olr1448	919	0
Olr1454	993	0
Olr1458	927	0
Olr1461	927	0
Olr1463	960	0
Olr1466	945	0
Olr1467	954	0
Olr1482	945	0
Olr1475	939	0
Olr1485	939	0
Olr1492	939	0
Olr1498	939	0
Olr1499	936	0
Olr1505	935	0
Olr1507	945	0
Olr1511	948	0
Olr1513	939	0
Olr1514	945	0
Olr1519	936	0
Olr1516	972	0
Olr1521	936	0
Olr1522	936	0
Olr1570	942	0
Olr1569	939	0
Olr1567	939	0
Olr1566	942	0
Olr1564	917	0
Olr1563	930	0
Olr1562	930	0
Olr1561	930	0
Olr1559	954	0
Olr1557	930	0
Olr1553	930	0
Olr1549	924	0
Olr875	939	0
Olr880	939	0
Olr881	936	0
Olr901	945	0
Olr898	960	0
Olr896	951	0
Olr892	939	0
Olr889	963	0
Olr1072	969	0
Olr1071	942	0
Olr1063	939	0
Olr1061	963	0
Olr1058	939	0
Olr1055	945	0
Olr1024	923	0
Olr1020	960	0
Olr1016	924	0
Olr1012	939	0
Olr1057	939	0
Olr951	943	0
Olr952	938	0
Olr1006	951	0
Olr1007	945	0
Olr1000	936	0
Olr1579	933	0
Olr1582	942	0
Olr1583	942	0
Olr1584	945	7
Olr1588	954	0
Olr1589	939	0
Olr1592	924	0
Olr1593	948	0
Olr1600	930	0
Olr1601	954	0
Olr1605	969	0
Olr1624	927	0
Olr1626	972	0
Olr1627	975	0
Olr1630	972	0
Olr1608	954	0
Olr1610	924	0
Olr1612	942	0
Olr1620	975	0
Olr1640	942	0
Olr1641	957	0
Olr1644	933	0
Olr1645	1005	0
Olr1646	945	1
Olr1653	948	1
Olr1658	921	0
Olr1660	939	0
Olr1662	954	0
Olr1666	939	0
Olr387	936	0
Olr3	954	0
Olr4	939	0
Olr5	909	0
Olr8	945	0
Olr11	948	0
Olr10	948	0
Olr13	927	0
Olr19	960	0
Olr20	993	0
Olr23	996	0
Olr30	930	0
Olr35	920	6
Olr48	954	0
Olr47	960	0
Olr45	954	0
Olr44	948	0
Olr41	942	0
Olr40	951	1
Olr39	990	0
Olr62	963	0
Olr56	951	0
Olr50	975	0
Olr49	927	0
Olr68	969	0
Olr74	945	0
Olr78	948	0
Olr83	939	0
Olr84	984	0
Olr85	936	0
Olr91	948	0
Olr92	945	0
Olr93	945	0
Olr98	948	0
Olr103	951	0
Olr104	960	0
Olr105	948	0
Olr106	972	0
Olr107	954	0
Olr108	942	0
Olr112	963	0
Olr113	942	0
Olr115	954	0
Olr119	954	0
Olr120	945	0
Olr121	954	0
Olr122	951	0
Olr124	948	0
Olr126	951	0
Olr128	963	0
Olr136	954	0
Olr139	948	0
Olr140	948	0
Olr143	939	0
Olr144	945	0
Olr148	972	0
Olr149	951	0
Olr153	975	1
Olr155	972	0
Olr157	990	0
Olr159	966	0
Olr163	966	0
Olr165	969	0
Olr167	960	0
Olr168	960	0
Olr170	966	0
Olr171	951	0
Olr172	957	0
Olr176	957	0
Olr178	939	0
Olr180	951	0
Olr183	942	0
Olr184	954	0
Olr185	954	0
Olr189	942	0
Olr190	948	0
Olr193	916	0
Olr196	951	0
Olr197	954	0
Olr200	966	2
Olr201	945	0
Olr203	948	0
Olr204	948	0
Olr206	948	0
Olr208	951	0
Olr210	951	0
Olr211	927	0
Olr214	951	0
Olr215	948	0
Olr217	951	0
Olr221	924	0
Olr222	933	0
Olr223	951	0
Olr227	954	0
Olr229	945	0
Olr230	954	0
Olr231	948	0
Olr233	948	0
Olr234	945	0
Olr235	939	0
Olr237	945	0
Olr239	939	0
Olr242	933	0
Olr244	945	0
Olr245	984	0
Olr246	939	0
Olr247	945	0
Olr251	945	0
Olr252	972	0
Olr263	945	0
Olr262	957	0
Olr259	942	0
Olr285	936	0
Olr282	981	0
Olr281	945	0
Olr279	945	0
Olr276	945	0
Olr267	945	0
Olr270	945	0
Olr272	945	0
Olr288	957	0
Olr292	918	0
Olr295	933	0
Olr297	924	0
Olr298	912	0
Olr299	930	0
Olr300	924	0
Olr302	933	0
Olr303	924	0
Olr305	933	0
Olr307	933	0
Olr309	933	0
Olr315	933	0
Olr321	933	0
Olr323	936	0
Olr324	936	0
Olr325	945	0
Olr326	954	0
Olr327	966	0
Olr332	960	0
Olr329	942	0
Olr338	939	0
Olr340	945	0
Olr343	945	0
Olr346	927	0
Olr352	924	0
Olr357	948	0
Olr371	942	0
Olr375	960	0
Olr376	948	0
Olr379	936	0
Olr383	948	0
Olr384	951	0
Olr1768	939	2
Olr1671	939	0
Olr1668	939	0
Olr1673	939	0
Olr1683	939	0
Olr1684	942	0
Olr1704	939	0
Olr1695	966	0
Olr1691	972	0
Olr1690	972	0
Olr1688	1005	0
Olr1708	915	0
Olr1724	923	0
Olr1730	954	0
Olr439	930	0
Olr440	946	0
Olr441	945	0
Olr442	948	0
Olr443	945	0
Olr447	945	0
Olr448	957	0
Olr450	939	0
Olr453	945	0
Olr454	936	0
Olr455	936	0
Olr458	939	0
Olr459	930	0
Olr461	936	0
Olr462	933	0
Olr464	954	0
Olr465	948	0
Olr466	936	0
Olr469	924	0
Olr470	975	0
Olr472	984	0
Olr473	933	0
Olr476	966	0
Olr477	960	0
Olr479	942	0
Olr484	948	0
Olr485	951	0
Olr488	927	0
Olr493	942	0
Olr495	948	0
Olr502	942	0
Olr510	933	0
Olr513	936	0
Olr514	942	0
Olr515	966	0
Olr516	936	0
Olr517	993	0
Olr519	969	0
Olr528	942	0
Olr539	939	0
Olr540	939	0
Olr550	939	0
Olr554	951	0
Olr558	921	0
Olr560	981	0
Olr567	927	0
Olr575	930	0
Olr576	927	0
Olr588	945	0
Olr592	936	0
Olr597	933	0
Olr598	933	0
Olr602	939	0
Olr607	951	0
Olr609	951	0
Olr610	946	0
Olr614	951	0
Olr619	972	0
Olr631	921	0
Olr639	942	0
Olr651	927	0
Olr655	930	0
Olr657	933	0
Olr658	930	0
Olr659	930	0
Olr663	936	0
Olr664	936	0
Olr668	936	0
Olr669	936	0
Olr672	915	0
Olr674	936	0
Olr678	936	0
Olr679	936	0
Olr686	936	0
Olr687	933	0
Olr694	927	0
Olr703	948	0
Olr713	945	0
Olr718	945	0
Olr721	912	0
Olr728	930	0
Olr731	909	0
Olr748	939	0
Olr750	912	0
Olr752	933	0
Olr754	918	0
Olr758	939	0
Olr769	939	0
Olr770	939	0
Olr773	939	0
Olr775	939	0
Olr781	963	0
Olr783	939	0
Olr789	939	0
Olr792	951	0
Olr400	930	0
Olr397	930	0
Olr403	924	0
Olr404	939	0
Olr406	936	0
Olr408	939	0
Olr411	942	0
Olr415	948	0
Olr416	936	0
Olr417	954	0
Olr420	927	0
Olr422	954	0
Olr423	987	0
Olr424	993	0
Olr425	954	0
Olr428	936	0
Olr429	930	0
Olr434	984	0
Olr853	939	0
Olr852	951	0
Olr851	960	0
Olr850	951	0
Olr848	954	0
Olr847	954	0
Olr845	954	0
Olr841	953	0
Olr836	960	3
Olr834	939	0
Olr833	951	1
Olr855	948	0
Olr865	948	0
Olr866	948	0
Olr867	948	0
Olr869	948	0
Olr840	960	1
Olr839	957	0
Olr1095	957	0
Olr1087	942	0
Olr1086	963	0
Olr1085	933	0
Olr1075	960	0
Olr1106	930	0
Olr1107	927	0
Olr1111	933	0
Olr1124	939	0
Olr1139	975	0
Olr1130	939	0
Olr1145	918	0
Olr1147	939	0
Olr1151	918	0
Olr1155	939	0
Olr1169	957	0
Olr1196	933	0
Olr1198	928	0
Olr1204	945	0
Olr1214	933	0
Olr1217	933	0
Olr1222	939	0
Olr1223	942	0
Olr1226	942	0
Olr1227	933	0
Olr1229	942	0
Olr1232	933	0
Olr1234	942	1
Olr1235	942	0
Olr1240	933	0
Olr1241	933	0
Olr1242	936	0
Olr1243	933	0
Olr1248	933	0
Olr1251	930	0
Olr1252	933	0
Olr1259	948	0
Olr1264	936	0
Olr1265	954	0
Olr1273	936	0
Olr1285	945	0
Olr1293	945	0
Olr1297	945	0
Olr1301	945	0
Olr1302	945	0
Olr1304	936	0
Olr1306	939	0
Olr1309	945	0
Olr1311	945	0
Olr1314	918	0
Olr1315	936	0
Olr1319	939	0
Olr1320	939	0
Olr1323	936	0
Olr1325	924	0
Olr1326	939	0
Olr1327	936	0
Olr1330	930	0
Olr1332	939	0
Olr1334	936	0
Olr1335	933	0
Olr1337	954	0
Olr1339	945	0
Olr1341	939	0
Olr1344	936	0
Olr1349	960	0
Olr1096	951	0
Olr959	942	0
Olr962	945	0
Olr1218	933	0
Olr1765	939	0
Olr1766	933	0
Olr1767	924	0
Olr1751	939	0
Olr1356	939	0
Olr1369	942	0
Olr1504	939	0
Olr1533	921	0
Olr878	930	0
Olr1065	939	0
Olr1576	930	0
Olr1595	948	0
Olr1596	966	1
Olr1606	954	0
Olr1637	996	3
Olr37	966	2
Olr318	957	0
Olr319	930	0
Olr337	957	4
Olr1687	966	0
Olr1709	939	0
Olr1733	930	0
Olr561	972	0
Olr601	954	0
Olr698	948	0
Olr725	933	0
Olr856	939	0
Olr1121	942	0
Olr1280	960	0
Olr1283	1053	0
Olr1307	936	0
Olr1346	972	0
Olr1619	936	0
Olr1069	945	0
Olr1381	942	0
Olr1393	936	0
